soc,rel_power
0,0.21691974
0.025,0.846854664
0.05,0.864425163
0.075,0.880694143
0.1,0.894360087
0.125,0.906724512
0.15,0.917570499
0.175,0.927331887
0.2,0.935466377
0.225,0.943600868
0.25,0.95010846
0.275,0.956182213
0.3,0.961388286
0.325,0.96659436
0.35,0.970715835
0.375,0.974403471
0.4,0.977223427
0.425,0.980477223
0.45,0.98373102
0.475,0.986550976
0.5,0.989370933
0.525,0.99197397
0.55,0.994577007
0.575,0.997180043
0.6,1
0.625,0.889370933
0.65,0.793926247
0.675,0.724511931
0.7,0.650759219
0.725,0.585683297
0.75,0.52494577
0.775,0.455531453
0.8,0.390455531
0.825,0.32537961
0.85,0.255965293
0.875,0.190889371
0.9,0.117136659
0.925,0.065075922
0.95,0.031236443
0.975,0.031236443
1,0
